ID,TITLE,GENRE,RATING
12,Romantic comedy,Accion,3.600000
14,Casshern,Accion,4.600000
30,Sometimes they come back,Accion,2.200000
33,The snow white murder case,Accion,4.900000
34,Yonkers joe,Accion,6.100000
45,Presidents man,Accion,4.800000
46,36 quai des orfevres,Accion,1.000000
49,Horrible bosses 2,Accion,2.300000
63,Invaders from mars,Accion,4.600000
64,Ugly truth,Accion,8.300000
65,10 000 timmar,Accion,1.100000
67,Mystery science theater 3000,Accion,3.000000
70,Pirates who dont do anything,Accion,4.700000
77,Doubt,Accion,10.000000
78,Dark horse,Accion,4.400000
84,Greatest show on earth,Accion,3.500000
85,Quicksilver highway,Accion,4.100000
90,Cheech and chong,Accion,8.500000
92,Silent house,Accion,7.300000
95,Cloverfield,Accion,1.300000
